"IWavePhi [deg]","Phase [deg]","Freq [GHz]","IWaveTheta [deg]","L1RE []","IWaveTheta [deg]","L1IM []","IWaveTheta [deg]","L2RE []","IWaveTheta [deg]","L2IM []","IWaveTheta [deg]","L3RE []","IWaveTheta [deg]","L3IM []","IWaveTheta [deg]","L4RE []","IWaveTheta [deg]","L4IM []","IWaveTheta [deg]","L5RE []","IWaveTheta [deg]","L5IM []","IWaveTheta [deg]","L6RE []","IWaveTheta [deg]","L6IM []","IWaveTheta [deg]","L7RE []","IWaveTheta [deg]","L7IM []","IWaveTheta [deg]","L8RE []","IWaveTheta [deg]","L8IM []"
0,0,2.5,-55.6,-0.000244565511568072,-55.6,0.00123333488367355,-55.6,0.00120495353904824,-55.6,0.000384295288207649,-55.6,0.000622547940294118,-55.6,-0.0011781101639873,-55.6,-0.000989489074982756,-55.6,-0.000718712885746469,-55.6,-0.000872154198511352,-55.6,0.00095853875385166,-55.6,0.000954475734997958,-55.6,0.00110784274795172,-55.6,0.00119591454594658,-55.6,-0.000620868034704458,-55.6,-0.000455681008167209,-55.6,-0.00115330711912926
0,0,2.5,-55.4,-0.000227062350769808,-55.4,0.00123662627610497,-55.4,0.00120872833073688,-55.4,0.000371633120211514,-55.4,0.000614008323884019,-55.4,-0.00118283309213496,-55.4,-0.000991992183763758,-55.4,-0.00071514463406208,-55.4,-0.000871876786298127,-55.4,0.000958816436923765,-55.4,0.000950797261945103,-55.4,0.0011103765811523,-55.4,0.00119957037856008,-55.4,-0.000613490132362125,-55.4,-0.000443962626221596,-55.4,-0.0011583379636866
0,0,2.5,-55.2,-0.000209440833475066,-55.2,0.00123968668559989,-55.2,0.00121238523595655,-55.2,0.000358883086706252,-55.2,0.000605404581714294,-55.2,-0.00118751148946189,-55.2,-0.000994488723522457,-55.2,-0.000711559150567291,-55.2,-0.000871609602512545,-55.2,0.000959085702918895,-55.2,0.000947071499043223,-55.2,0.00111292486548033,-55.2,0.00120320023508728,-55.2,-0.000606034093628398,-55.2,-0.00043212524536073,-55.2,-0.00116327758099996
0,0,2.5,-55,-0.000191704100861029,-55,0.00124251226967666,-55,0.00121592225642215,-55,0.000346046333558377,-55,0.000596736918484448,-55,-0.00119214438181629,-55,-0.000996978525358796,-55,-0.000707956395319651,-55,-0.000871352691878924,-55,0.000959346579614478,-55,0.000943298229265316,-55,0.00111548731772094,-55,0.00120680290633558,-55,-0.000598499774723108,-55,-0.000420169354712444,-55,-0.00116812315213295
0,0,2.5,-54.8,-0.000173855389443519,-54.8,0.00124509929114293,-54.8,0.00121933741811514,-54.8,0.0003331240023323,-54.8,0.000588005563912324,-54.8,-0.00119673082454,-54.8,-0.000999461426410094,-54.8,-0.000704336447766907,-54.8,-0.000871106097080625,-54.8,0.000959599025399453,-54.8,0.000939477274483393,-54.8,0.00111806359485108,-54.8,0.00121037718365112,-54.8,-0.000590887065476859,-54.8,-0.000408095505967404,-54.8,-0.00117287184509362
0,0,2.5,-54.6,-0.000155898018520223,-54.6,0.00124744406199399,-54.6,0.00122262868202787,-54.6,0.00032011726847888,-54.6,0.000579210766571126,-54.6,-0.00120126979472833,-54.6,-0.00100193732497246,-54.6,-0.000700699220177007,-54.6,-0.000870869783363675,-54.6,0.000959843074301973,-54.6,0.000935608437750747,-54.6,0.00112065342441111,-54.6,0.00121392187635385,-54.6,-0.000583195835978366,-54.6,-0.000395904272801971,-54.6,-0.00117752086890354
0,0,2.5,-54.4,-0.000137835423824891,-54.4,0.0012495429367214,-54.4,0.00122579407207497,-54.4,0.000307027406434084,-54.4,0.000570352749651943,-54.4,-0.00120576038423943,-54.4,-0.00100440606131653,-54.4,-0.000697044822924807,-54.4,-0.000870643839048854,-54.4,0.000960078692040781,-54.4,0.00093169158508005,-54.4,0.00112325644687759,-54.4,0.00121743577566534,-54.4,-0.000575426034102884,-54.4,-0.000383596316995976,-54.4,-0.00118206737793808
0,0,2.5,-54.2,-0.000119671132955691,-54.2,0.00125139230853041,-54.2,0.00122883154802309,-54.2,0.00029385564382501,-54.2,0.000561431771019136,-54.2,-0.00121020154513644,-54.2,-0.00100686747323651,-54.2,-0.000693373129624692,-54.2,-0.00087042829931717,-54.2,0.000960305934060602,-54.2,0.000927726485360101,-54.2,0.00112587236674823,-54.2,0.00122091758713473,-54.2,-0.000567577552039713,-54.2,-0.000371172292507582,-54.2,-0.00118650845871179
0,0,2.5,-54,-0.000101408767275377,-54,0.00125298859279897,-54,0.00123173926477917,-54,0.000280603326894779,-54,0.000552448134949416,-54,-0.00121459235223112,-54,-0.00100932144564344,-54,-0.000689684229042852,-54,-0.000870223131874885,-54,0.000960524758558098,-54,0.000923712938279281,-54,0.0011285008385305,-54,0.00122436613494638,-54,-0.000559650332676378,-54,-0.00035863295445735,-54,-0.00119084132824824
0,0,2.5,-53.8,-8.30520524978275E-05,-53.8,0.00125432820665083,-53.8,0.00123451514512281,-53.8,0.000267271790893036,-53.8,0.000543402112685881,-53.8,-0.00121893178305434,-53.8,-0.00101176784534495,-53.8,-0.000685978104311621,-53.8,-0.000870028390937395,-53.8,0.000960735188063746,-53.8,0.000919650820751484,-53.8,0.00113114155250625,-53.8,0.00122778019279126,-53.8,-0.00055164430896219,-53.8,-0.000345979073106022,-53.8,-0.00119506308174541
0,0,2.5,-53.6,-6.46048019004942E-05,-53.6,0.00125540775441509,-53.6,0.00123715730777229,-53.6,0.00025386243246337,-53.6,0.000534293991071529,-53.6,-0.00122321890959891,-53.6,-0.00101420648920789,-53.6,-0.000682254774604565,-53.6,-0.000869844128376175,-53.6,0.000960937217272889,-53.6,0.000915539889750586,-53.6,0.001133794181676,-53.6,0.00123115845510868,-53.6,-0.000543559446453572,-53.6,-0.000333211523855733,-53.6,-0.00119917083140175
